Teaching_Rating,Inter_Outlook_Rating,Research_Rating,Citations_Rating,Industry_Income_Rating,Num_Students,Student/Staff_Ratio,%_Inter_Students
32.4,25.1,19.7,18.3,42.9,52878,12.8,2
24.3,36.4,14.7,45.8,29.4,53476,16,6
25.5,34.7,29.5,26.2,30.3,17758,30.8,1
29.4,25.6,27.3,15.7,99.8,31658,10.8,7
15.5,78.9,9.5,50.5,29.3,19665,19.4,27
27.8,22.2,18.9,41.7,42.2,14686,8.2,5
29.3,17.3,22.7,31.6,71.8,57242,17.7,4
24.3,12.9,20.7,42.6,32.3,4710,14.2,1
33.1,16.4,15,31.5,28,6167,12.2,0
29.7,13.9,17.5,37.2,81.4,8061,18.7,1
18.1,17.2,23,39.5,99.5,10964,26.5,1
19.2,22.9,25.8,26.5,72.1,34550,16,5
32.8,7.7,22.2,31.8,33.8,10697,16.1,0
24.7,18.4,14.8,35.5,30.4,10546,10.4,5
22.9,41.7,17.5,39.3,43.1,21379,15.1,10
25,22.7,17.5,28.5,41.4,33751,11.9,5
18.4,32.4,14.2,53.8,28.5,23122,19,8
25.4,84.5,16.1,24.4,81.2,6898,7.1,20
20,75.5,17.5,22.3,57.4,40666,13.4,7
16.9,44.7,10,44.8,28.5,22422,14.9,5
27.1,53,27.5,20.8,80.3,3486,23.9,19
19.8,76.5,16.3,36.6,34,12212,19.8,13
25.9,46.6,18.3,32.4,35.4,47849,17.5,9
16.4,62.1,11.6,45.9,28.8,18513,19.8,13
26.8,44.1,15.1,28.3,71.6,27402,7.5,3
22.7,57.8,10.6,30.8,28.3,28037,18.2,14
17.1,33.6,11.5,42.1,38.7,14531,17.3,4
21.2,48.9,22.9,27.8,28.5,40898,26.6,17
23.1,80.5,17.1,31.9,35.8,19101,16.8,15
18.1,53.3,15.8,35.6,48.3,15464,14.6,10
29.9,26.7,17.3,28.8,60,25779,22.2,7
23.9,43.6,20.1,35.3,51.6,19090,18.8,9
23.5,40.6,18.4,28.7,52.8,7647,15.5,12
17.7,23.5,21.8,48,43,12331,17.8,4
23.9,59.6,12.7,23.4,75.8,14353,20.5,12
26.3,27.1,23.2,17.5,75.3,10915,9.8,6
26.1,19.7,33,25.8,44.3,9336,19.6,4
26.2,38.1,31.3,16.2,81.9,11072,13,19
20.2,31.3,15,36.2,40.3,14780,26.9,7
18.9,48.5,16.6,32.2,32.2,10646,26.2,17
19.5,30.5,19.2,47.2,34.6,15035,18.8,7
18.2,17.4,15.3,43.1,28.9,16446,19.2,2
27.5,25.6,22.7,33.1,33.7,21270,21.4,7
26.3,21.3,13.4,34.4,40.7,8604,10.1,4
22.9,43.9,14.4,39.7,37.7,14104,13.1,13
19.5,36.2,10.8,41.9,34.1,24210,13.7,5
19.2,48.8,11.8,42.9,28.7,18540,11.4,9
24.6,14.1,8.8,41,28.1,16691,23.9,1
21.9,69.3,11.1,27.6,30.6,9565,15.4,28
24.5,31.3,24.1,23.1,100,14300,21.2,3
16.8,31.6,14.4,43.3,44.6,20398,22.2,8
25.6,46,21.2,17.5,52.4,37314,20,8
27.5,32.9,24.7,20.4,66.8,24929,19.7,12
15.6,47.7,15.8,34.2,34.4,11550,22.8,12
34.7,40.1,13.7,30.7,42.5,24954,12.7,6
17.8,53,10.3,44.7,31.7,22186,13.9,12
26.1,40.8,16.9,25.9,31.6,31035,17.9,12
22.9,37.1,14.1,46.9,32.3,29085,15.3,6
19.6,81.7,10.6,41.5,30.7,12920,10.9,25
21.5,32,14.9,32.6,36.7,64931,17.5,7
25.6,39.8,9.5,41.3,29.6,13438,5.4,5
19.2,16,13.7,45.8,75.3,36465,12.9,2
19.5,17.5,22.1,28.1,86.8,41438,17.7,3
16.3,37.9,15,38.7,44.8,14061,28.6,5
51.8,14.1,20,9.3,30,13912,9,1
20.1,50.3,10.1,50.9,33.4,29396,10.5,10
36.5,14.7,34.4,12.2,100,29693,12.2,1
34.9,19.4,24.1,16.9,39.9,5865,14.4,5
31.6,37.7,13.4,29.9,32.9,19465,17.5,9
28.9,37.2,29.2,13.1,63.5,37394,13.5,10
29.7,43.8,12.9,24.6,71.7,4597,12.5,25
18.8,95,14.8,21.7,30.1,9221,12.5,26
26.1,41.6,15.8,42.2,28.5,49292,14.1,7
17.3,26,13.8,45.5,29,22542,18.4,5
28.7,25.8,22.5,25.5,70.4,29863,12.3,4
20.1,33.5,12.7,49.5,36.7,31046,11.8,5
18.3,23.4,10,16.6,38.2,17062,13,2
20,25.7,11,15.3,28.7,40633,15.6,1
19.5,20,11.9,23.9,45.7,12706,11.3,2
17.6,50,11.2,28.3,43.3,30812,25.1,18
20.3,33.7,8.2,14.1,29.7,127431,23.3,1
24.9,46.9,13.6,7,28.2,25724,33,5
28.3,18.7,10,20.9,29.6,11197,10.5,2
12.4,95.6,10.6,13.3,33.3,5226,14.1,82
20.4,29.6,5.8,20.7,28,17273,6.6,8
34.8,7.2,6.9,1.2,31.3,10407,20.2,3
18.1,42,21.1,14.8,43.6,38872,23,1
22.6,36.6,15,29.5,33.6,46288,22.2,9
14.4,18.3,15.9,30.5,38.4,12119,26.3,3
13.4,39.2,18.8,31.2,66.5,13167,57.5,6
17.3,95.6,9.8,21.7,28.5,18981,18.1,38
16.7,45.2,9.7,14.2,41.1,13794,17.8,1
20.2,48.2,8.7,6,28,29303,10.6,6
20.4,30.5,13.2,14,45.6,96968,28.3,5
18.3,13.7,8.3,17.4,29.6,11837,19.5,0
18.7,79.1,15.9,22.7,32.7,11065,20.5,32
16.7,62.8,10.7,20.1,29.4,16924,19.5,19
34.3,21.3,11.5,9.9,29.5,31806,24.9,2
17.1,30.4,13.7,21.6,39.7,22447,22.1,4
34.7,13.1,8.7,19.8,29.2,18511,32.5,0
26.3,18.8,14.9,16.3,28.8,11506,7.1,3
18.4,28.6,10.3,30.5,29.7,26381,14.3,3
15.7,54.1,9.4,28.2,28.9,18542,17.5,17
18.7,49.1,6.3,13.2,28.6,17000,9.2,11
19.3,15.7,24.7,27.6,31.9,7506,12.6,0
23.2,44.7,17.4,24.8,34.8,15730,11.4,9
21.6,46.3,12,17.4,38.9,4699,11,19
17.8,34.9,9.4,30,32.3,35617,16.5,1
26.9,21,16.8,24.8,55.3,14554,12.3,5
21.1,16.1,21.4,21.5,64.5,29483,20.7,3
23.6,15.9,26.6,4,100,14579,19.4,6
19.7,27.2,14.7,24.5,33.3,23270,15,3
19.5,15.5,15.5,8.7,73.8,43955,16,3
17.5,20.4,11.7,29.1,31.4,35779,18.5,3
23.8,32.8,14.1,16.7,37.8,38719,14.5,2
15.9,18.7,22.1,17.4,41.9,15020,30.2,3
23.2,19.8,17.7,13.2,39.9,18361,17.2,3
21.4,34.6,19.7,27,35.8,19198,17.1,8
23,46.9,10.3,19.6,28,20879,9.7,10
17.1,69.6,7.7,18.4,29.1,21934,14.8,35
22.6,20.7,19,23.5,93.3,34326,15.2,2
29.8,15.4,10.8,19.1,28.2,32567,22.9,1
16.1,70.5,8.8,20.7,28.1,13839,18.9,25
19.2,20.9,11.3,17.5,37.8,8394,9.9,1
20.5,13.4,12.9,8.8,28,21689,9.8,0
21.3,43,12.1,30.6,29.3,28698,22.4,4
15.5,17.2,10.9,18,30.3,28079,28,2
27.9,21.6,15.4,23.1,30.7,42612,13.5,1
26,21,12.2,14.2,42.9,26078,12.6,1
39.7,15,14.5,3.9,59,13163,11.4,3
14.6,21.1,13.7,34.4,33.9,20213,23.9,7
20.4,62.4,13.5,24.6,33.4,4408,13.7,26
14.4,19.1,9.8,18.2,47,25951,22.8,4
15.5,16.1,9.5,15.2,36.8,25217,23.3,1
25.4,18.5,16.9,14.7,32.8,7318,12.4,4
17.1,55,10.4,24.2,29.9,13527,21.6,16
15.7,81.8,9.5,17.7,30,18096,24.6,32
21,19.6,11.8,19.7,28.2,39606,20.4,4
17.4,55.2,5.4,16.5,28,15436,18.1,25
18.3,14.8,15,21.2,46.7,42756,24.7,2
22.7,26.1,11.1,4.6,29.2,26247,17.1,1
18.1,37.2,8,13.9,40,43565,15.8,0
20.7,23.5,20,22.5,64.7,20353,24.1,3
12.8,24.8,11.5,13.3,41,16263,29.9,10
26,20,23.3,10,100,82096,41.1,6
24,33.5,14.4,30.7,28,42835,11.5,5
28.2,20.3,14.4,14.6,42.1,65605,13.6,3
19,53.7,7.7,7.8,28.8,35577,13.6,13
16.4,62.2,6.2,16.4,31.4,24686,16.4,23
32.3,16.7,10.5,24,51.1,3955,3.7,1
20.9,7.1,18.1,22.5,45.5,7146,24.6,0
20.6,19.9,22.2,20.5,33.2,7009,12.6,5
18.2,31.5,7.4,19.9,35.7,39669,16.9,1
18.2,28.5,11.4,36.2,70.3,17791,23.7,1
16.9,76.8,12.1,26.7,28.5,20778,20.9,34
18.5,17,7.9,30,33.2,31216,11.6,2
27.8,21.1,15.4,24.3,45.1,15885,8.4,6
20,22.6,19.6,17,36,26483,23.5,6
23.4,22.2,11.6,28.1,43.1,10226,7.6,5
21.1,21.7,16,18.1,34.9,27152,14.4,4
19.4,20.7,12.5,14.2,44.1,5890,12.1,4
22.6,31.5,10.2,20.9,28.3,15100,26.5,3
20,60.3,8.6,32.4,31.8,19599,14.5,18
17.9,60.5,11.9,26.4,29.3,10665,18.9,11
24.9,34.5,13.6,24,32.3,48821,17.6,4
17.4,42.7,6.3,12.1,29.2,56060,38.7,1
19.2,24.8,15.7,36.1,30.2,16370,20.5,7
34.3,44.4,16.3,15.5,28,5395,7,12
19.3,28.3,11.7,28,29.5,31460,15.8,6
13.7,45.5,9,19.5,28,72676,47,1
18.4,33.1,12.5,14,31.3,16867,18.4,10
21.3,14.2,20.3,15.7,40.8,11989,22.9,1
20.2,16.9,16.8,24.5,42.5,15632,20.3,4
17.8,16,14.6,16.4,81.3,10227,16.5,3
18.1,20.3,21,18.2,49.3,8240,20.9,5
16,28.1,9,12.5,28.6,108373,38.1,2
24.8,33.7,17.5,10.8,67.2,4441,6.7,13
21.4,31.3,7,35,31.3,9808,7.8,3
21.9,19.3,10.1,17.5,33,12460,8.5,3
17.7,55.1,10.9,29.2,29.1,22750,19.3,16
23.4,15.2,15.4,3.5,28,23056,14.1,3
16.5,52.7,8.9,27.3,28.4,21852,17.4,18
18.1,23.3,11.9,21.9,30.3,14584,19.8,2
18.9,15.6,10.7,12.9,50.1,36205,20.6,1
25,33.6,14.9,24.6,30.1,22224,20,10
24.3,20.6,14.9,25.3,48,13035,8.6,3
21.6,17.6,10.2,17.5,41.5,8051,7.5,3
15.9,23.4,11.9,11.1,28.3,10671,19.8,4
17.5,46.4,11.6,36.2,28,23026,23.4,22
31.1,44.2,21.3,7.1,28.5,21580,27.4,21
18.5,30.6,12.1,28.8,48.3,29251,40.9,4
19.7,50.8,9,23.4,28.4,21819,15.4,10
20.3,32.9,12.7,34.3,43.8,33172,13.6,7
18.4,18.6,6.5,32.2,28,7741,10.9,2
21.1,18.7,10.9,27.6,52.3,14797,10.1,0
18.4,35.7,8,10.4,44.3,13493,10.4,0
15.3,31,7,22.2,31.6,38274,16.1,1
9.9,99.9,10.3,22.3,55.2,9583,19,42
21.7,16.8,9.1,12.3,30.8,28757,10.1,0
17.4,29.8,13.4,25.1,30.4,12965,13.5,13
18.6,20.6,9.6,23.4,29.6,7469,11.7,2
20.8,66.4,12.1,21.2,28.8,16152,17,25
17.6,40.4,11.3,10.2,31,22739,23.6,1
28,18.7,22.6,6.7,40.1,50594,13,5
38.3,17.3,12.4,11.4,29.3,4858,14.6,3
25.1,15.6,22.4,6.9,89.7,22780,15.1,4
18.9,25.2,12.2,38.7,35.4,11704,15.5,3
22.8,18.7,17.5,21.4,28.9,10243,19,3
20.5,13.8,19,11.4,58.9,17800,24.9,1
19.1,15.8,16.1,14.8,45.7,46044,17.5,3
17.6,30.7,9.1,28.3,30.7,9593,13.5,0
17.3,47,9.4,20.1,28.6,27477,18.8,15
20.8,20.3,8.3,22,31.6,11232,9.6,3
25,15.7,18.4,16.1,90.8,65035,14.5,2
17.7,18.5,8,20.4,28.1,32764,17.3,1
23.3,30.6,8.6,24.9,33.2,16400,15.3,2
21.5,27.7,24.8,20.5,46.8,10625,24.1,7
22,32.8,9.4,5.3,29.5,12799,24.3,8
21.9,17.3,8.2,9.2,39.5,27556,9,3
21,20.8,11.8,20.1,39.9,14569,18.5,3
18.4,63,13.1,14.4,28.8,13761,29.2,21
21.3,71.5,10.6,16,37.6,7089,9,3
21.1,25.9,11.6,18.4,38.1,12650,32.9,1
20,46.9,10.5,20.5,33.2,22684,13.8,9
25.7,26.5,21.7,19,42.2,6001,11.1,6
27.9,28.2,11,4.2,28,22686,8.2,2
21.8,39.5,14.6,24.5,38.3,41500,13.8,11
17.9,19.3,7.6,15.3,34.4,29700,12.7,1
25.3,16.8,21.6,12.8,59.6,7519,8.9,3
27.9,24.5,12.4,7.7,57.9,2597,11.1,7
23,15.4,24.1,21.4,37.6,20243,25.7,2
34.8,36.9,20.8,7.6,44,10413,9.9,12
24.3,16.7,10.1,9.6,34.5,6248,8.2,2
22,25.4,18.9,15.8,50.3,2153,9.3,9
24.3,29.7,15.9,10.9,28.4,24227,11.8,12
25.3,50.1,20.9,10.2,34.2,23883,12.2,16
26.9,44.2,16.6,12.4,34.4,28179,14.8,10
15.2,14.8,7.7,18.2,28.3,69268,16.8,0
24.8,17.3,10.6,16.8,35.6,28427,10.1,3
21.7,48.4,8.9,1.7,28.8,14410,9.7,22
18.4,30.7,10.5,31.8,38.1,22793,19,3
18.3,40.8,13.6,26.1,41,19019,14.2,4
19.4,20.7,8.5,40.3,47.4,34572,14.5,3
23.6,29.7,14.6,29.4,32.4,52316,16.9,8
16.3,23.1,9.7,29.8,32.1,15639,21.5,2
16.9,48.5,11.2,34.6,28.5,22525,21.4,15
17.3,81.9,11.7,21.1,28.5,16609,21,43
17.9,12.8,12.1,8.9,83.7,31618,16.4,2
18.6,24.3,10.9,26.5,35.4,21958,15.3,3
14.5,14.9,7.6,19.3,44,31268,28.7,2
24,16.1,10.2,36.4,37.9,4122,3.7,3
20.1,23.3,16,13.5,40.4,10117,12.1,8
16.2,17.7,18.3,28.6,39.8,8663,20.6,4
