"","canc1","canc2","canc3","canc4","canc5","canc6","canc7","canc8","canc9","canc10","canc11","canc12","canc13","canc14","canc15","canc16","canc17","canc18","canc19","canc20","canc21","canc22","canc23","canc24","canc25"
"gene119",-1.39,-0.88,0.46,-0.22,1.08,-1.03,0.58,0.66,1.08,-0.43,1.48,-1.1,1.13,-0.58,-0.38,-0.3,-0.79,-1.41,-1.12,-0.63,1.8,0.63,1.5,0.52,1.05
"gene120",-0.86,-2.31,0.65,-1.26,0.14,-0.81,-0.32,1.43,-0.16,-1.03,0.94,1.02,-0.95,0.67,-0.72,-0.66,-1.52,0.28,-1.15,0.48,0.6,-1.87,0.04,-0.92,0.16
"gene121",1.75,1.81,1.01,-0.8,-0.15,-0.47,-1.8,0.14,0.58,0.18,0.36,-1.32,0.57,-1.82,-0.15,-0.48,0.15,0.58,-1.78,1.69,-0.15,1.17,0.17,0.85,0.65
"gene122",1.02,-0.05,-0.57,0.3,1.83,0.08,0.84,-1.13,0.57,-1.58,0.83,0.23,-0.38,-0.05,0.43,0.76,0.86,-0.58,0.5,0.9,0.75,-0.37,1.24,-1.39,-0.79
"gene123",-0.2,-0.03,0.41,0.44,0.07,-0.62,0.68,1.66,0.04,-0.7,1.4,1.14,-0.51,-0.38,-0.8,-0.71,1.54,-0.12,0.58,0.83,1.01,0.92,-0.36,-1.49,-0.57
"gene124",1.02,-0.78,0.79,0.5,-1.14,0.61,0.56,-0.3,-1.33,-0.61,-0.79,0.92,0.25,0.37,1.06,1.03,-0.22,1.68,-0.24,1.03,-0.15,1.49,0.32,-0.61,1.04
"gene125",-0.6,-1.03,-0.45,0.8,0.45,0.46,0.32,0.47,0.02,0.5,0.67,-0.55,-0.67,1.28,0.23,0.93,0.1,-0.77,0.37,-0.51,1.79,1,-0.07,1.21,-0.51
"gene126",-0.31,0.62,-0.04,0.57,-0.44,0.08,-1.46,1.49,-0.66,-0.18,-0.81,0.83,0.28,0.36,0.38,-0.02,-1.82,-1.2,-0.28,1.03,-1.29,2.16,-1.37,-0.51,0.57
"gene127",-0.05,-0.71,0.87,0.91,-0.64,-0.92,-0.82,-1.18,-1.35,-1.07,-0.33,0.48,1.42,1.06,0.44,1.37,-0.72,0.62,0.19,1.11,-1.06,-1.77,-0.81,-0.26,-0.61
"gene128",-0.71,0.22,-0.2,-0.25,-0.28,0.43,-0.19,-1.46,1.07,1.43,-1.15,-0.06,-0.5,0.07,0.89,-0.08,-1.01,0.16,-0.52,-0.98,-0.69,-2.44,0.07,0.51,0.07
"gene129",0.07,-0.58,0.64,0.44,-0.75,-0.41,-1.25,0.57,-1.22,0.61,-0.03,-1.74,0.6,1.26,-1.06,-0.11,-0.45,0.69,-1.05,1.89,0.38,1.41,2.46,-0.03,0.02
"gene130",1.44,1.39,-0.63,1.37,1.07,0.17,0.56,-1.84,-0.88,-1.6,0.57,0.35,1.65,-0.08,-1.4,-0.02,-0.29,1.88,-0.18,0.39,-0.44,-0.65,0.55,0.29,-0.66
"gene131",0.64,0.28,0.92,-0.21,1.14,1.3,-0.75,-0.86,-1.19,-0.94,-0.35,-0.69,0.83,0.29,-0.71,0,0.63,0.5,-0.08,0.54,1.28,-0.14,-1.43,-2.03,0.21
"gene132",-0.06,-0.58,0.58,2,0.89,-0.66,-0.31,-0.2,0,-0.13,0,-0.52,-0.95,1.35,0.2,-1.17,1.07,-1.27,0.14,-0.92,0.96,-0.54,-0.07,0.55,-1.82
"gene133",-0.21,0.46,-0.4,-0.34,-0.67,-0.43,-0.53,0.53,-0.04,-0.74,-1.95,0.73,-1.37,-0.98,1.85,1.25,1.44,0.72,0.1,1.45,0.28,-0.77,-0.53,-0.72,-0.91
"gene134",2.12,-1.87,0.4,-2.03,-0.92,-0.18,-2.42,1.01,-0.38,-0.81,0,-1.86,0.79,-2.37,0.16,0.44,-1.16,0.49,-0.7,0.49,0.42,0.26,-0.48,-1.15,-1.08
"gene135",0.36,-0.29,-0.94,0.96,0.48,2.8,-0.92,-0.17,0.32,1.28,1.54,0.71,-1.76,-1.77,-0.45,0.11,-1.07,-0.7,-0.49,-0.16,0.38,-1.08,0.43,-0.3,0.82
"gene136",-2.69,2.32,-1.66,0.27,-0.61,0.26,0.15,-1.09,-1.31,2.37,0.5,0.09,0.31,1.29,0.73,-0.26,-1.08,-1.35,0.27,0.37,1.52,0.07,-0.46,0.17,0.19
"gene137",0.25,-1.11,0.74,0.52,1.73,-2.86,1.28,-1.78,-0.25,-0.75,-0.03,1.4,1.46,-0.46,-0.36,0.19,2.43,1.07,-1.44,-0.3,0.11,0.23,-0.09,-0.81,-1.42
"gene138",1.09,-2.14,1.03,-0.1,-0.01,-0.44,1.05,0,-0.99,-1.2,1.57,1.24,-0.55,0.51,0.29,-1.11,-1.64,1.68,-0.4,-1.25,-0.52,-0.7,0.26,0.55,0.38
"gene139",-0.95,-1.67,-0.17,1.09,0.47,0.91,1.16,-0.22,-1.6,2.26,2.28,-1.22,0.4,-0.73,-0.92,1.02,-0.01,-2.21,-1.3,0.39,-1.88,-1.09,0.64,0.85,0.59
"gene140",-2.38,-3.06,-0.53,0.02,-0.88,0.7,-0.18,-1.93,0.26,0.74,0.88,1.09,-0.36,0.36,0.95,1.15,-0.03,-1.3,1.04,0.67,-0.07,0.4,0.79,-0.82,0.31
"gene141",-0.06,1.93,1.08,-0.88,-0.27,-0.68,-0.28,-0.91,0.74,0.27,-0.29,-0.22,-1.69,1.72,1.42,-0.05,-0.37,0.48,0.84,-1.4,0.19,0.7,0.31,1.72,-0.81
"gene142",-2.57,-0.37,1.06,1.55,0.23,0.29,0.89,-0.09,1.78,0.67,0.12,0.68,-0.69,-0.42,-0.21,1.01,0.26,1.14,-0.32,-0.77,-1.32,-0.47,-1.11,0.31,0.51
"gene143",0.24,-0.66,-1.01,-0.7,-0.64,-2.29,1.78,1.03,0.18,1.37,0.11,0.89,-1.52,1.46,0,0.03,-0.21,-1.29,-1.37,0.28,0.54,-0.59,-0.13,0.87,-1.26
"gene144",-0.05,-0.19,0.57,1,1.11,0.07,1.15,0.75,-0.59,-0.27,1.25,-0.56,-0.74,1.21,0.05,0.54,0.14,-0.43,1.56,0.05,-0.55,-1.01,-2.05,-0.73,-0.2
"gene145",-0.62,1.35,0.45,-0.48,-0.01,0.03,-1.24,-2.14,-1.29,-0.23,2.75,0.36,0.11,-1.12,0.14,-1.3,0.59,0.33,1.81,-0.32,-0.47,-0.47,-0.73,-0.28,0.4
"gene146",1.09,-0.21,0.46,1.11,-1.01,-0.44,0.21,0.87,0.14,-0.19,1.13,0.7,0.78,1.17,-1.43,0.39,-0.39,0.32,0.44,0.07,0.55,-0.94,-0.26,-0.32,0.18
"gene147",0.15,-0.63,-0.71,-0.47,-0.25,-0.08,0.35,0.79,-0.14,-0.47,0.9,-0.45,0.29,-0.67,-1.8,0.36,0.19,-0.27,0.45,0.55,1.79,-0.18,-0.53,0.35,1.73
"gene148",0.31,-1.1,-0.44,0.25,-1.41,0.8,-0.63,-0.73,-0.3,-1.02,-0.69,-1.97,-2.1,-0.08,1.2,0.74,-1.27,0.09,0.26,-0.9,0.88,-1.35,-0.46,0.31,-0.03
"gene149",0.08,-0.45,-0.71,1.44,-2.4,-0.13,0.26,-0.01,-1.87,0.95,0.36,1.12,-0.05,-0.4,-0.33,0.98,0.99,0.22,0,0.5,-0.39,-0.93,1.66,0.64,0.89
"gene150",-0.19,-0.71,-0.46,-2.12,0.87,-2.76,-1.03,0.49,1.04,-0.98,-0.38,-1.01,2.29,-0.97,0.69,-0.34,0.09,0.66,-0.54,0.56,0.12,-0.27,-0.03,2.85,-0.13
"gene151",0.18,0.22,-0.27,0.5,0.85,1.16,-1.59,-0.6,-2.52,-0.25,-1.04,-0.66,-1.72,-0.89,-0.48,-0.06,0.58,1,-0.87,0.22,0.23,-0.96,-0.86,2.3,-0.27
"gene152",-1.01,-0.68,-0.64,-0.04,1.46,0.45,0.91,-0.97,0.95,1.1,0.17,-0.31,-0.65,-0.47,0.08,0.16,0.87,-2.41,0.41,-1.14,0.19,-0.33,1.56,0.47,-0.59
"gene153",-0.23,-1.26,0.1,-0.38,-0.64,0.38,-2.08,-0.62,0.16,0.38,0.48,-0.19,1.44,0.22,-0.07,-0.26,0.33,-2.03,-0.97,0.63,-2.03,-0.01,1.58,-0.12,-0.24
"gene154",0.72,-0.34,-1.08,0.34,-0.68,-0.78,-0.27,-1.7,-0.73,-0.09,0.59,0.82,-0.39,0.11,0.22,1.94,0.26,0.75,-0.73,-0.1,-0.26,-0.81,-0.16,0.63,-0.58
"gene155",-2.33,0.05,2.95,-0.56,0.65,-1.56,1.38,-0.54,0.07,0.05,0.61,0.58,0.36,-0.66,1.64,1.47,-1.17,-0.65,0.48,-0.99,-2.04,-0.13,0.2,-0.93,-2.36
"gene156",0.31,0.43,1.22,1.52,0.69,2.18,0.43,3.49,-0.12,2.15,3.61,1.3,1.97,3.41,2.8,2.23,1.19,-0.46,0.02,0.58,0.41,0.23,2.29,1.97,2.74
"gene157",0.43,0.43,-0.27,-0.17,-0.76,0.1,0.77,0,-0.55,-0.35,0.21,-0.49,0.27,-0.85,-1.04,-0.23,0.24,2.18,-0.81,1.25,-0.61,1.21,-0.82,1.74,-0.02
"gene158",-0.56,0.7,0.99,-0.19,-1.32,-0.59,1.34,-0.14,-0.48,-0.27,0.24,-0.11,0.48,-0.85,-1.32,1.5,0.13,0.45,0.33,-1.7,1.24,1.82,-0.43,-0.14,-0.87
"gene159",0.34,-0.63,0.12,0.63,-0.71,0.77,-0.41,0.5,-0.28,0.25,-1.03,1.38,-0.79,-0.53,-0.67,0.24,0.23,-0.91,-1.48,0.4,-1.08,-2.25,-1.04,0.57,0.24
"gene160",0.26,0.3,-0.28,-0.75,1.72,2.81,0.5,-1.34,-0.51,-0.75,0.12,0.54,0.64,-0.8,-0.76,-0.92,-0.13,0.73,1.06,-0.12,-2.38,0.44,-0.77,-1.53,1.37
"gene161",0.57,0.06,0.64,-1.36,-0.63,-1.5,-1.29,-0.06,-0.04,1.83,0.66,-1.48,-2.07,-0.54,-0.25,1.6,0.2,1.04,0.51,-0.68,0.22,0.51,-0.8,0.32,0.59
"gene162",-0.54,-0.55,0.33,-1.92,-0.77,-0.83,-0.99,0.32,1.13,0.24,0.71,0.97,-0.48,-2.21,-0.66,-0.67,-0.85,0.21,-0.32,0.41,-0.05,-0.68,-0.36,0.19,-0.69
"gene163",2.78,-0.65,1.58,-0.31,0.59,0.1,-0.07,-0.46,0.65,0,-1.45,-0.79,0.24,0.46,1.16,-0.77,0.8,-0.28,-0.97,0.42,0.44,0.25,0.61,1.26,-0.18
"gene164",0.97,0.02,-0.97,-0.7,-0.15,-1.42,-1.43,-0.69,-1.57,-1.11,0.29,1.79,-0.05,1.08,0.31,1.16,-1.43,-1.58,-0.72,0.16,0.19,-1,-0.23,0.08,-0.24
"gene165",1.46,1.1,-0.34,0.81,-0.56,0.43,-0.28,1.67,-1.63,-0.79,-0.93,1.21,-0.2,-0.78,-0.04,0.19,-1.17,1.13,0.06,-0.14,0.32,1.15,-0.49,0.55,-1.18
"gene166",-0.46,0.07,-0.59,1.54,-0.32,-0.12,-1.43,-0.17,0.28,2.2,0.64,0.15,-1.46,0.66,-0.41,-0.24,1.12,1.14,0.25,-2.1,-0.65,-0.47,0.59,0.7,-0.75
"gene167",1.07,-1.25,0.26,1.24,-0.17,1.2,-0.61,-0.24,-0.79,0.43,1.56,-1.24,0.54,-1.48,0.88,0.79,-0.31,-0.1,-1.5,0.11,-0.01,-0.27,0.88,0.5,-0.48
"gene168",0.04,-1.3,-0.8,-0.67,1.61,0.92,0.12,-0.84,-1.56,-0.11,0.22,-0.56,-0.37,-0.48,0.25,0.11,-0.19,0.32,-0.69,-1.03,0.1,-0.02,-0.62,-0.83,0.56
"gene169",0.9,-1.41,1.52,0.79,0.37,0.11,-0.63,0.89,0.3,-0.37,-1.01,2.04,0.27,-0.94,1.48,0.02,-1.28,-0.61,-0.17,1.58,-1.01,0.56,0.11,-0.32,-0.26
"gene170",-0.85,-0.67,1.61,0.26,-1.21,0.14,-0.97,0.79,0.5,0.37,-0.27,0.73,-0.16,-1.71,0.21,1.1,-0.5,1.3,1.23,-1.41,-0.83,-0.48,-0.17,0.71,-1.12
"gene171",0.42,-0.74,-1.14,1.3,0.7,-0.1,-0.59,1.15,-0.96,-0.65,-0.44,0.68,0.22,0.24,0.78,-0.56,-0.56,0.5,1.03,0.76,0.97,0.42,0.01,0.03,-0.06
"gene172",1.26,0.16,0.59,-0.63,0.34,0.1,-1.77,0.14,-0.64,-0.07,0.41,0.23,0.69,-2.24,0.07,-0.24,0.58,-0.15,-0.21,-0.84,0.86,-0.47,1.59,0.01,0.96
"gene173",-0.67,-0.15,-0.44,1.75,-1.17,-0.21,-0.63,1.33,1.31,0.3,0.18,-0.78,-0.18,-0.53,0.52,-0.01,-0.31,-0.74,-2,1.05,-1.13,1.55,-0.24,1.13,0.93
"gene174",0.09,0.78,-0.61,-0.53,-3.06,1.03,0.98,-0.52,0.13,-0.82,0.13,-1.43,-2.09,1.27,0.35,-0.56,-0.83,-0.19,1.52,0.48,0.15,-0.08,0,-0.82,-0.66
"gene175",0.03,-1.55,0.53,1.58,0.63,-0.16,-1.59,-0.52,-0.1,-0.13,-0.16,-1.37,1.54,-0.87,1.34,-0.32,-1.14,0.1,-0.18,-1.93,0.35,1.44,-0.32,-0.85,0.6
"gene176",-1.24,0.4,1.96,-1.28,-1.65,-1.53,0.68,0.29,-1.26,-1.76,-0.74,1.1,0.64,-0.29,-0.09,-0.81,-0.48,-1,-0.01,0.91,-0.17,-0.85,1.22,-1.29,0.88
"gene177",-0.05,-0.41,-1.23,0.22,1.22,1.18,-0.11,1.97,-1.12,1.21,2.48,-1.42,-0.62,0.09,0.61,-0.94,-0.58,0.82,-0.35,-0.22,-1.58,2.01,0.39,-1.2,-1.15
"gene178",0.04,-1.92,1.11,0.18,1.03,1.73,1.06,-0.34,-0.17,0.89,0.79,1.33,1.73,-2.36,0.16,-0.86,1.32,0.55,0.6,-1.3,1.16,-0.28,0.6,0.11,1.01
"gene179",0.88,-1.07,-0.85,0.19,0.36,1.33,-1.21,0.31,1.14,-0.83,-1.75,-0.21,-1.53,0.12,-0.24,-0.17,-0.16,-0.57,-0.19,-0.45,-0.58,-0.39,0.74,1.52,-0.53
"gene180",0.33,1.78,-0.29,0.87,-0.56,-1.32,-0.3,-0.17,-0.39,-0.32,0.69,0.24,-0.31,-0.35,-0.87,1.19,-1.33,-0.57,-0.59,-0.52,-1.6,1.46,0.67,-2.2,-0.49
"gene181",1.63,1.22,-0.67,-1.49,-1.42,-2.47,0.64,0.57,-0.18,0.36,0.38,-0.53,0.67,-0.54,0.12,-2.05,-0.61,1.32,-0.67,0.38,1.19,0.49,0.63,1.19,-1.32
"gene182",0.38,1.05,-0.11,0.03,-1.17,1.8,-2.64,-0.62,0.04,-0.14,-1.11,-1.27,0.51,-0.09,0.49,0.25,-0.78,-0.65,-0.94,-0.36,0.2,-0.32,-0.73,0.63,0.36
"gene183",-0.4,0.18,0.66,0.57,-0.47,0.53,0.02,-1.03,1.3,0.47,1.54,-0.16,0.96,-0.13,0.39,0.46,-0.06,0.29,-1.07,1.63,0.3,-0.62,-1.54,0.74,0.62
"gene184",-0.6,-0.05,-0.16,1.06,-0.57,-0.29,-0.96,0.86,-1.23,-0.82,-1.38,-0.36,1.46,-1.97,-0.83,-0.23,0.04,1.7,1.06,1.58,-0.6,0.01,0.2,-0.76,-0.83
"gene185",0.76,0.13,2.94,-0.73,0.16,-0.87,0.52,-2.66,-0.75,-0.32,0.03,0.52,1.95,1.01,-0.35,-0.95,0.45,-1.11,-1.05,1.53,0.23,0.01,-1.03,1.01,0.06
"gene186",-0.66,0.8,0.88,-0.04,-0.15,-1.86,0.8,0.7,-1.92,1.3,-1.49,-1.72,0.68,-2.01,-0.6,-0.65,0.12,-1.9,-0.53,-0.28,-0.91,1.65,0.51,-0.77,0.16
"gene187",-0.7,0.8,-0.08,0.04,1.18,-1.7,-0.12,-0.35,1.1,-1.16,-0.64,-0.71,-0.56,0.2,0.48,-0.87,-0.49,0.13,-1.15,0.69,1.14,0.69,-0.34,-0.54,-0.62
"gene188",-0.13,-0.69,0.74,-1.45,-1.48,0.48,-0.56,0.23,0.12,-1.65,1.08,-2.01,-0.55,1.46,1.02,-0.7,-0.06,0.59,0.9,-0.04,0.38,0.55,1.31,-0.97,0.8
"gene189",-0.53,-0.52,-0.16,-1.15,0.44,-0.38,0.97,0.69,-1.29,0.26,0.14,1.2,0.89,-0.98,-0.11,-1.25,2.44,-0.56,0.76,-0.24,-0.2,2.36,-1.9,-0.48,-2.35
"gene190",0.07,-0.46,-0.94,-0.47,-0.53,-0.63,0.3,0.99,0.47,-0.22,-0.12,-0.96,-0.14,-0.16,-0.86,-0.26,-0.66,1,-0.36,1.79,-0.51,-0.61,1.26,0.44,1.14
"gene191",0.1,-0.25,-0.35,-0.11,0.29,-0.66,-0.28,-0.67,-0.34,1.53,0.31,-2.09,-1.53,0.47,0.35,1.37,-0.5,0.99,0.37,-0.21,2.23,1.64,-0.4,0.63,0.1
"gene192",0.67,0.64,-0.33,-0.9,-1.13,-0.67,0.42,0.25,-1.4,-0.86,-1.28,1.43,0.82,0.15,0.11,-1.09,0.16,-1.55,-0.73,-0.21,-2.27,2.04,0.46,-0.54,-0.56
"gene193",-0.3,-0.9,0.78,0.25,-1.88,-0.4,1.1,1.55,-1.86,0.16,1.97,-1.17,-0.08,0.2,-0.14,-0.76,-0.39,1.01,-0.39,1.15,-0.73,1.61,-0.34,-1.63,-0.54
"gene194",-1.67,0.2,-0.23,-0.99,-0.51,1.39,0.58,-1.45,-0.56,-0.81,-1.2,0.75,0.72,0.48,-1.14,0.3,1.79,1.36,0.77,-0.51,1.62,1.65,-2.02,0.8,-0.79
"gene195",-2.61,0.8,-1.42,-1.37,-0.19,-1.06,-0.49,2.2,-1.73,-0.23,-1.12,-0.32,0.86,-0.68,0.62,0.87,-0.8,1.4,0.59,-1.38,-0.36,-0.88,-1.91,1.71,-0.27
"gene196",-0.73,-0.85,1.36,0.37,0.78,0.24,-1.59,0.51,-0.33,0.75,-0.63,0.38,-0.21,-0.23,-1.68,0.81,0.21,-0.57,0.16,1.36,0.07,-0.31,-1.12,1.38,0.99
"gene197",-0.57,1.22,-0.43,-1.24,-1.19,-0.76,-0.12,-0.22,0.85,-0.17,0.37,-0.15,-0.57,-0.4,-0.15,-0.25,1.61,-0.77,-0.44,2.88,-1.69,0.87,-0.42,-1.34,-0.54
"gene198",0.45,0.46,-1.77,0.63,0.36,-1.39,-0.82,-0.04,-1.22,0.58,-1.9,-0.48,-1.08,-0.56,1.35,-0.15,-0.24,0.13,-0.22,-0.72,0.17,-0.02,-0.21,1.14,-1.04
"gene199",0.77,-1.4,-0.02,1.08,0.57,0.45,0.15,1.09,-1.97,1.07,-1.17,-0.17,0.66,0.05,1.79,3.54,0.87,0.27,0.24,0.57,-0.59,-0.63,-0.98,0.13,0.41
"gene200",-1.51,-1.17,-1.76,0.97,0.12,1.4,-0.4,0.7,-0.83,-1.73,0.82,-1.02,0.91,-0.41,-0.34,1.5,1.89,0.27,0.59,0.19,-1.04,1.31,1.26,0.81,2.06
"gene201",-0.31,0.62,-0.33,0.53,-0.84,-0.7,-0.99,0.38,0.14,1.47,2.33,-0.96,1.24,1.47,-2.2,-3.51,0.77,-0.6,-1.35,-0.07,1.19,0.94,-0.62,-0.85,-1.53
"gene202",-2.08,0.21,0.47,-0.54,-0.87,0.79,-0.94,-1.66,0.7,1.53,-1.49,-0.29,1.45,-1.36,0.57,-1.47,0.91,-0.78,-0.16,1.7,-1,0.5,-0.05,0.08,0.57
"gene203",0.35,-0.72,0.02,0.63,0.41,-0.21,0.51,-0.34,-0.07,-0.92,0.19,0.42,1.11,0.03,0.62,-0.36,1.85,-0.72,0.4,1.33,2.05,0.59,0.84,0.67,-1.39
"gene204",-1.04,-0.06,-1.39,1.06,1.19,-1.91,-0.72,-0.65,-2.24,0.03,-0.56,-0.79,0.2,-0.32,-2.8,1.76,-1.33,1.59,-0.56,0.34,-0.03,-1.5,-0.13,0.62,-0.53
"gene205",2.62,0.78,1.91,1.47,1.53,1.28,1.84,1.8,1.48,3.43,0.69,0.34,3.93,1.07,1.9,2.42,2.24,0.67,1.75,1.12,2.15,0.75,1.52,1.25,3.91
"gene206",0.18,-0.38,-2.7,1.18,0.1,-1.46,0.61,1,-0.59,-0.58,0.6,-1.32,-0.45,0.5,1.29,-0.61,-0.82,1.56,0.87,-0.96,0.28,1.05,-1.06,0.3,0.69
"gene207",0.37,-0.42,-1.02,-0.95,-1.24,1.25,0.3,-0.12,-1.01,1.2,0.28,0.42,-0.8,0.21,-0.33,1.24,-0.61,-1.11,-0.29,0.16,-0.65,-1.22,0.11,1.36,-0.6
"gene208",-0.81,-0.91,1.43,-0.87,3.38,-0.15,-0.99,-0.85,-1.31,0.19,-1.21,-0.42,0.59,1.2,-1.95,-0.23,0.72,-0.1,-0.77,0,0.58,-0.56,1.82,0.97,1.22
"gene209",0.68,-0.33,-1.32,0.46,-0.73,0.76,-0.12,0.08,-1.42,-0.34,1.43,1.15,0.21,-0.88,0.07,0.02,0.34,-1.11,-0.14,-0.42,2.05,0.18,0.94,-1.12,-0.72
"gene210",-0.54,-1.28,0.33,-1.21,-1.78,0,0.8,-0.47,0.82,-0.79,-0.13,-1.01,-1.54,2.25,1.11,-0.22,0.29,-0.31,0.44,0.75,-0.25,-0.63,-0.99,0.23,1.25
"gene211",-0.79,-1.69,-1.04,-1,1.51,0.53,-0.95,2.33,-1.72,0.79,-0.55,-2.63,0.12,0.94,-0.32,-0.19,-1.57,-0.69,-0.2,-0.19,-0.23,0.18,0.42,-0.37,-0.17
"gene212",-0.27,0.53,0.26,1.01,0.95,-1.25,0.14,-0.89,1.36,-0.4,-0.81,0.38,1.36,-0.26,0.73,0.18,-0.38,0.59,-0.71,0.94,0.37,2.61,0.57,0.58,-1.96
"gene213",0.39,-1.22,0.74,0.22,0.54,-2.22,-1.64,-0.99,-0.68,-0.72,-0.76,0.27,1.77,-0.26,0.39,0.57,-1.5,1.13,-1.85,-0.9,0.78,1.31,0.21,-1.25,0.74
"gene214",-0.42,1.85,0.58,0.65,-0.11,-1.07,1.32,-1.16,-0.57,0.19,0.11,0.07,0.3,0.4,-0.9,0.18,1.5,0.37,1.29,0.53,-0.79,-0.14,-0.8,-0.67,-1.67
"gene215",1.46,-0.19,-1.35,-0.25,0.15,-1.35,-1.1,-0.33,-1.07,-1.61,1.02,-0.02,1.51,0.7,1,1.14,0.47,-0.58,-0.43,0.22,-0.11,0.83,0.59,1.54,0.15
"gene216",0.71,0.72,-0.2,1.73,0.61,-0.38,-0.11,-0.7,1.21,0.27,-0.38,-0.75,-0.06,1.76,-0.23,-1.39,-0.76,2.02,-1,-0.87,-0.14,0.38,-0.04,-0.38,-1.11
"gene217",1.92,0.01,-1.47,-1.7,1.37,0.41,0.7,1.08,1.58,-0.42,1.02,-1,-0.26,0.3,-0.29,0.38,-2.38,1.24,1.44,-0.69,-1.4,-0.49,0,-1.51,-0.04
"gene218",0.64,-0.77,-0.33,-1.24,-1.58,-0.59,0.36,0.95,-0.68,-0.21,-0.7,-0.25,-0.75,0.99,1.21,0.08,-1.43,-1.33,-1.21,-2.2,1.27,-0.92,-1.49,0.85,-0.66
"gene219",0.27,-2.2,-1.37,0.87,0.44,-1.75,0.99,1.01,-1.53,-0.6,1.37,-0.25,0.69,-0.53,-1.45,0.8,0.74,-0.27,-1.48,0.58,-0.79,-0.71,-0.95,1.92,-1.07
"gene220",-0.96,0.29,-0.38,0.24,0.47,1.05,-0.86,-0.27,-0.35,-0.25,0.76,-0.89,2.85,0.75,1.19,-1.1,-0.51,0.61,-0.51,1.38,-0.33,0.2,-0.93,0.59,1.17
"gene221",-1.2,-0.43,-0.44,3.2,-1.14,1.09,1.11,-0.33,-1.09,-0.63,-0.51,-0.48,-0.68,-0.02,-1.63,-1.22,-0.65,0.12,-0.78,0.54,-0.09,0.42,-0.31,-0.98,-0.67
"gene222",1.02,1.38,2.05,0.4,-0.86,-0.58,0.15,0.07,-0.52,1.05,0.44,-0.97,0.45,0.24,-0.22,0.11,-0.66,0.18,-0.43,1.08,0.97,-0.97,0.3,0.13,-1.31
"gene223",0.76,-0.7,0.51,-0.04,-0.14,0.26,-0.58,-1.46,0.36,-0.58,-1.22,1.29,0.6,-0.37,-0.56,-0.73,0.47,0.83,-0.03,-2.02,0.51,0.28,-0.4,-0.79,1.17
"gene224",-2,0.99,0.84,1.97,-0.42,-1.17,-0.23,0.01,0.52,0.61,0.93,-2.14,0.91,0.82,-0.27,-0.32,-0.01,-0.01,-1.34,-0.29,-0.42,-0.65,2.35,-1.32,-1.35
"gene225",-1.06,-0.02,1.54,0.52,-0.65,-0.82,-0.09,0.44,-0.88,-0.33,-1.94,0.07,-0.81,-1.1,0.78,-0.56,0.16,0.27,0.32,0.38,-1.09,1.27,-1.87,-1.11,2.17
"gene226",-0.32,-0.62,-1.61,-0.12,0.9,0.94,-1.79,0.37,-0.5,-0.14,-2.27,-0.76,0.59,0.91,3.24,-0.16,1.24,-0.52,0.12,0.37,0.73,-0.14,-1.35,0.79,-0.17
"gene227",-0.47,0.95,-1.54,1.09,-0.55,-1.58,-1.94,0.87,-0.9,-0.14,0.76,0.14,-0.48,-0.17,-0.02,-1.29,0.85,-0.14,0.94,0.19,-1.39,0.45,2.69,1.48,-0.71
"gene228",-0.67,0.25,0.06,0.63,1.66,2.04,0.98,2.23,0.06,-2.1,0.36,1.67,0.1,-0.61,0.21,-0.06,0.51,0.93,0.46,-1.4,-1.36,-0.25,0.14,0.27,0.12
"gene229",0.32,0.72,1.09,-1.57,-1.88,0.34,1.13,0.06,-0.1,0.45,0.35,1.86,2.69,-1.02,-0.76,-0.47,2.21,-0.98,0.61,-0.56,0.7,-0.01,-0.55,-0.21,-1.58
"gene230",1.57,-0.18,-0.79,-1.64,0.32,1.44,-1.05,-0.52,0.99,-1.09,0.41,1.15,0.29,-0.32,0.64,-1.36,-0.12,0.11,0.99,-0.88,-1.1,0.43,1.12,1.24,-0.02
"gene231",0.69,0.95,-0.97,0.91,0.9,1.85,-0.48,0.55,-0.89,-0.58,-0.42,0.68,0.96,-0.87,0.64,0.25,0.68,-0.9,-0.46,0.81,-1.51,0.14,0.05,-0.22,0.76
"gene232",2.31,-1.2,1.59,-0.95,-1.94,-0.89,0.12,0.27,-0.78,-0.58,0.48,-1.11,0.03,0.42,-0.1,-1.02,-1.76,0.27,-0.16,-0.69,0.09,-0.53,-0.85,1.6,0.41
"gene233",0.37,-0.02,0.39,-0.12,0.68,0.26,-1.67,0.24,-0.08,1.69,0.31,0.44,-1.45,1.34,0.38,0.79,0.07,0.09,0.29,-1.96,-0.72,1.44,-1.59,-0.76,1.63
"gene234",-0.64,0.95,-0.05,0.11,0.21,0.6,0.26,1.29,-0.96,-0.84,-0.58,-1.63,0.2,-1.45,-0.08,0.47,-0.11,-2.98,-1.06,1.08,0.11,-0.05,0.3,-0.02,1.14
"gene235",0.67,-0.72,0.47,-0.01,-0.99,-0.49,0.58,-0.88,2.36,-0.44,-0.97,0.84,-0.71,-0.6,0.76,-0.34,-1.64,-1.28,-2.05,-0.57,1.65,1.33,-0.43,0.74,-0.74
"gene236",0.52,-2.37,-1.35,0.66,-1.58,-0.34,0.04,-0.15,0.06,0.96,-1.12,-0.2,-0.5,0.57,0.33,-0.41,-0.91,-0.46,-0.17,-1.39,-0.5,-0.17,0.13,1.73,-0.26
